word,node-label
(คอร์รัปชั่น - VERB),neg
(แสน - ADJ),neg
(เปียก - VERB),neg
(ปลายทาง - VERB),neg
(คาลิม - VERB),neg
(คาดเดา - VERB),neg
(เหม็นเหม็น - VERB),neg
(กุ้งก้ามกราม - VERB),neg
(กาลเวลา - VERB),neg
(โกรธ - ADJ),neg
(ข้าวของ - VERB),neg
(ลำลอง - ADJ),neg
(พัฒน์พงษ์ สวรรค์ - ADV),neg
(กูตา - VERB),neg
(พิสูจน์ - VERB),neg
(ลาง - ADV),neg
(งดงาม - ADV),neg
(คาดเข็มขัดสิ่ว - VERB),neg
(กลอเรีย - VERB),neg
(ขู่ - VERB),neg
(เจริญเติบโต - VERB),neg
(บูชา - VERB),neg
(ย้าย - ADJ),neg
(ไฮซี - VERB),neg
(แบน - VERB),neg
(เนปาลพม่า - ADJ),neg
(ไอพ่น - ADV),neg
(สนิท - VERB),neg
(ไอศครีม - VERB),neg
(เหมาะ - ADV),neg
(เมตร - ADV),neg
(แข่งขัน - VERB),neg
(โทร - VERB),neg
(กำไร - VERB),neg
(btw - VERB),neg
(ยิง - VERB),neg
(ยัก - VERB),neg
(ริบเบียน - VERB),neg
(จำนวน จำกัด - VERB),neg
(ฉวย - ADJ),neg
(beachfullof - VERB),neg
(ผลิ - VERB),neg
(นาฬิกา - VERB),neg
(ชี้ - VERB),neg
(เช็ดตัว - ADJ),neg
(ไล่ - VERB),neg
(ส่อง - VERB),neg
(สุก - VERB),neg
(สม่ำเสมอ - ADJ),neg
(เศร้าเศร้าเสียใจ - VERB),neg
(สรรพสินค้าแทน - VERB),neg
(หาดกะตะ - VERB),neg
(ปอง - VERB),neg
(ร้อนแรง - ADJ),neg
(กดดัน - VERB),neg
(ถนนปาร์ตี้ - VERB),neg
(ปฏิบัติการ - VERB),neg
(อพยพ - ADJ),neg
(ไทม์ - ADV),neg
(คลื่นไมอามี่เซาท์บีช - VERB),neg
(แท็กซี่ - ADV),neg
(เฮ้ฉัน - VERB),neg
(คอก - VERB),neg
(เลี้ยว - ADJ),neg
(หาน - ADJ),neg
(ขีดข่วน - VERB),neg
(ต้น - ADJ),neg
(บัง - VERB),neg
(กระสอบ - VERB),neg
(ดิสโก้ - VERB),neg
(ดีเลิศ - VERB),neg
(จอง - ADV),neg
(นิ้ว - VERB),neg
(คิว - VERB),neg
(จดจำ - VERB),neg
(หลากหลาย - ADJ),neg
(เลง - VERB),neg
(patong - ADJ),neg
(แปร - VERB),neg
(นรก - ADJ),neg
(รีสอร์ท - ADJ),neg
(แกล้ง - ADV),neg
(คุณเมา - VERB),neg
(ทุบ - VERB),neg
(แก้ว - ADV),neg
(ชดเชย - ADV),neg
(ดิสนีย์แลนด์ - VERB),neg
(ตัด - ADV),neg
(องค์ - ADV),neg
(การค้าจังซีลอน - VERB),neg
(กาม - VERB),neg
(กะทันหัน - VERB),neg
(สไมล์ - ADJ),neg
(คุณกล้า - ADJ),neg
(fluro - VERB),neg
(ท่อง - VERB),neg
(เจ็ตสกีไหม - VERB),neg
(สม่ำเสมอ - VERB),neg
(น้ำเสียง - ADV),neg
(ย่น - VERB),neg
(ท่า - ADV),neg
(สมัคร - VERB),neg
(สักเฮน - VERB),neg
(คลึง - VERB),neg
(ลอนดอน - ADV),neg
(รอคอย - VERB),neg
(ก่อตัว - VERB),neg
(monger - ADJ),neg
(คว่ำ - VERB),neg
(ซ้อน - VERB),neg
(ย่อ - VERB),neg
(barachout - ADJ),neg
(คุณบิน - VERB),neg
(ขั้นตอน - VERB),neg
(คณะ - VERB),neg
(บวม - VERB),neg
(คอนโด - VERB),neg
(คุณหวัง - VERB),neg
(โรคภัยไข้เจ็บ - VERB),neg
(ไหล่ - VERB),neg
(หลากหลาย - VERB),neg
(เหมือน - ADV),neg
(อูฐ - ADJ),neg
(สำรับ - VERB),neg
(จังหวัด - VERB),neg
(กลั่นแกล้ง - ADJ),neg
(กางเกง - VERB),neg
(กึกก้อง - VERB),neg
(กลลวง - VERB),neg
(คุณสัมผัส - VERB),neg
(โป๊ะ - VERB),neg
(ฝึกฝน - VERB),neg
(กระทบกระเทือน - VERB),neg
(โอ้โจร - ADJ),neg
(รีด - VERB),neg
(กลัว - ADV),neg
(รบ - VERB),neg
(ไอศ - VERB),neg
(ติดตั้ง - VERB),neg
(ตูม - VERB),neg
(คุณเว้น - VERB),neg
(ต่อรอง - ADJ),neg
(ตรวจสอบ - ADV),neg
(บกพร่อง - VERB),neg
(ฉีด - VERB),neg
(บรรยากาศ - ADV),neg
(ย้อนกลับ - ADJ),neg
(แข่ง - VERB),neg
(bashings - VERB),neg
(หลีกหนี - VERB),neg
(โบ๊ท - VERB),neg
(ตื่น - ADV),neg
(เปลือย - ADV),neg
(คิ้ว - VERB),neg
(สถานที่ - VERB),neg
(เปลื้อง - VERB),neg
(ราบ - ADJ),neg
(คัดท้าย - VERB),neg
(ตบ - VERB),neg
(องค์ - VERB),neg
(airbnb - VERB),neg
(คุณผลัก - VERB),neg
(กอด - VERB),neg
(กาฬโรค - VERB),neg
(ซับซ้อน - VERB),neg
(กลโกง - VERB),neg
(น่ากลัว - ADV),neg
(ล้อเลียน - VERB),neg
(น - VERB),neg
(ชอบคาร์ท - ADV),neg
(กลับมา - VERB),neg
(ค้าทาง - VERB),neg
(จักรยาน - ADJ),neg
(แจ้ง - VERB),neg
(เวอร์ชั่น - VERB),neg
(เจ็ทสกีบานา - ADJ),neg
(กึ่ง - VERB),neg
(เติม - VERB),neg
(ดึง - ADV),neg
(ศอก - VERB),neg
(บอด - VERB),neg
(รุกราน - VERB),neg
(เต็นท์ - ADJ),neg
(ประดิษฐ์ - VERB),neg
(นับถือ - VERB),neg
(ทน - ADV),neg
(ได้ยิน - ADV),neg
(อึดอัด - VERB),neg
(ยกเว้น - ADJ),neg
(ทิศ - VERB),neg
(ขยับ - VERB),neg
(แรมอมา - ADJ),neg
(แผ่ - VERB),neg
(เศร้า - ADV),neg
(รายละเอียด - VERB),neg
(โน้มน้าว - VERB),neg
(เลอเมอริเดียน - VERB),neg
(สงบเงียบ - VERB),neg
(สะเทือน - VERB),neg
(รีวิว - VERB),neg
(kala - ADJ),neg
(แสวงหา - ADJ),neg
(ยาง - ADV),neg
(สมบูรณ์แบบ - VERB),neg
(เผ่าพันธุ์ - VERB),neg
(โทรม - VERB),neg
(อาหาร - VERB),neg
(เตะ - ADJ),neg
(ดำเนินการ - ADJ),neg
(น้ำมืด - VERB),neg
(บีบบังคับ - VERB),neg
(ลา - ADJ),neg
(ไถ - VERB),neg
(buuuuuuttt - VERB),neg
(ปาตง - VERB),neg
(หอคอย - VERB),neg
(ระบาด - VERB),neg
(บริษัท เจ็ทสกี - VERB),neg
(เกลือ - VERB),neg
(โจมตี - ADJ),neg
(สะพานหิน - ADJ),neg
(ลังเล - ADJ),neg
(คุณบ้า - VERB),neg
(วิถี - VERB),neg
(ตลาด - ADV),neg
(หลุด - VERB),neg
(ฟัน - VERB),neg
(fundont - ADV),neg
(กูตเตอร์ - VERB),neg
(ลูกค้า - VERB),neg
(เส็ง - VERB),neg
(กลยุทธ์ - ADV),neg
(ซ้ำ - ADV),neg
(ดัก - ADJ),neg
(ถือถัง - VERB),neg
(ขัน - VERB),neg
(ทั่วไป - ADV),neg
(ถนนบางลาเศร้า - VERB),neg
(บุก - VERB),neg
(แกะสลัก - ADJ),neg
(โสเภณี - VERB),neg
(ถ้วน - ADJ),neg
(ดัน - VERB),neg
(ฉุกเฉิน - ADJ),neg
(รายงาน - VERB),neg
(พัด - VERB),neg
(ขีด - VERB),neg
(ริม - VERB),neg
(สเตียรอยด์ - ADJ),neg
(เกาะอื่น - ADJ),neg
(เครื่องหมาย - ADJ),neg
(สองสาม - ADV),neg
(มือ - VERB),neg
(คุณก้าว - VERB),neg
(ลามกอนาจาร - ADJ),neg
(เสิร์ฟ - VERB),neg
(คลำหา - VERB),neg
(ระเบียง - VERB),neg
(เลี้ยว - VERB),neg
(โล่ง - ADV),neg
(ซื่อสัตย์ - VERB),neg
(หมื่น - ADJ),neg
(ควาย - VERB),neg
(อนามัย - ADJ),neg
(ตุ๊กตุ๊กใน - VERB),neg
(หนุน - VERB),neg
(โลชั่น - VERB),neg
(ผูกขาด - VERB),neg
(เป้าหมาย - ADJ),neg
(คุณไป - ADJ),neg
(เตกี - VERB),neg
(คีรีสอร์ท - VERB),neg
(เร่ - ADJ),neg
(ยนต์ - ADJ),neg
(กันแดด - VERB),neg
(ตุ๊กตุ๊กมาเฟีย - ADJ),neg
(กก - VERB),neg
(แอสฟัลต์ - ADJ),neg
(การ์ด - ADJ),neg
(ลองขาย - VERB),neg
(เมตร - VERB),neg
(ยาง - ADJ),neg
(ดำรง - VERB),neg
(บัส - ADJ),neg
(ติดตาม - ADV),neg
