word,node-label,new-val
(คอร์รัปชั่น - VERB),neg,-1.0
(แสน - ADJ),neg,-0.9991666666666666
(คาลิม - VERB),neg,-0.9983333333333333
(คาดเดา - VERB),neg,-0.9975
(เหม็นเหม็น - VERB),neg,-0.9966666666666667
(กุ้งก้ามกราม - VERB),neg,-0.9958333333333333
(กาลเวลา - VERB),neg,-0.995
(โกรธ - ADJ),neg,-0.9941666666666666
(ข้าวของ - VERB),neg,-0.9933333333333333
(ลำลอง - ADJ),neg,-0.9925
(พัฒน์พงษ์ สวรรค์ - ADV),neg,-0.9916666666666667
(กูตา - VERB),neg,-0.9908333333333333
(พิสูจน์ - VERB),neg,-0.99
(ลาง - ADV),neg,-0.9891666666666666
(งดงาม - ADV),neg,-0.9883333333333333
(คาดเข็มขัดสิ่ว - VERB),neg,-0.9875
(กลอเรีย - VERB),neg,-0.9866666666666667
(ขู่ - VERB),neg,-0.9858333333333333
(เจริญเติบโต - VERB),neg,-0.985
(บูชา - VERB),neg,-0.9841666666666666
(ไฮซี - VERB),neg,-0.9833333333333333
(แบน - VERB),neg,-0.9825
(เนปาลพม่า - ADJ),neg,-0.9816666666666667
(ไอพ่น - ADV),neg,-0.9808333333333333
(สนิท - VERB),neg,-0.98
(เมตร - ADV),neg,-0.9791666666666666
(แข่งขัน - VERB),neg,-0.9783333333333334
(โทร - VERB),neg,-0.9775
(กำไร - VERB),neg,-0.9766666666666667
(btw - VERB),neg,-0.9758333333333333
(ยิง - VERB),neg,-0.975
(ยัก - VERB),neg,-0.9741666666666666
(ริบเบียน - VERB),neg,-0.9733333333333334
(จำนวน จำกัด - VERB),neg,-0.9725
(ฉวย - ADJ),neg,-0.9716666666666667
(beachfullof - VERB),neg,-0.9708333333333333
(ผลิ - VERB),neg,-0.97
(นาฬิกา - VERB),neg,-0.9691666666666666
(ชี้ - VERB),neg,-0.9683333333333334
(เช็ดตัว - ADJ),neg,-0.9675
(ไล่ - VERB),neg,-0.9666666666666667
(สุก - VERB),neg,-0.9658333333333333
(สม่ำเสมอ - ADJ),neg,-0.965
(เศร้าเศร้าเสียใจ - VERB),neg,-0.9641666666666666
(สรรพสินค้าแทน - VERB),neg,-0.9633333333333334
(หาดกะตะ - VERB),neg,-0.9625
(กดดัน - VERB),neg,-0.9616666666666667
(ถนนปาร์ตี้ - VERB),neg,-0.9608333333333333
(ปฏิบัติการ - VERB),neg,-0.96
(อพยพ - ADJ),neg,-0.9591666666666666
(ไทม์ - ADV),neg,-0.9583333333333334
(คลื่นไมอามี่เซาท์บีช - VERB),neg,-0.9575
(เฮ้ฉัน - VERB),neg,-0.9566666666666667
(คอก - VERB),neg,-0.9558333333333333
(เลี้ยว - ADJ),neg,-0.955
(หาน - ADJ),neg,-0.9541666666666667
(ขีดข่วน - VERB),neg,-0.9533333333333334
(ต้น - ADJ),neg,-0.9525
(บัง - VERB),neg,-0.9516666666666667
(ดิสโก้ - VERB),neg,-0.9508333333333333
(ดีเลิศ - VERB),neg,-0.95
(จอง - ADV),neg,-0.9491666666666667
(นิ้ว - VERB),neg,-0.9483333333333334
(จดจำ - VERB),neg,-0.9475
(เลง - VERB),neg,-0.9466666666666667
(patong - ADJ),neg,-0.9458333333333333
(แปร - VERB),neg,-0.945
(นรก - ADJ),neg,-0.9441666666666667
(รีสอร์ท - ADJ),neg,-0.9433333333333334
(แกล้ง - ADV),neg,-0.9425
(ทุบ - VERB),neg,-0.9416666666666667
(แก้ว - ADV),neg,-0.9408333333333333
(ชดเชย - ADV),neg,-0.94
(ดิสนีย์แลนด์ - VERB),neg,-0.9391666666666667
(องค์ - ADV),neg,-0.9383333333333334
(การค้าจังซีลอน - VERB),neg,-0.9375
(กาม - VERB),neg,-0.9366666666666666
(กะทันหัน - VERB),neg,-0.9358333333333333
(สไมล์ - ADJ),neg,-0.935
(คุณกล้า - ADJ),neg,-0.9341666666666667
(fluro - VERB),neg,-0.9333333333333333
(เจ็ตสกีไหม - VERB),neg,-0.9325
(สม่ำเสมอ - VERB),neg,-0.9316666666666666
(น้ำเสียง - ADV),neg,-0.9308333333333333
(ย่น - VERB),neg,-0.93
(ท่า - ADV),neg,-0.9291666666666667
(สักเฮน - VERB),neg,-0.9283333333333333
(คลึง - VERB),neg,-0.9275
(ลอนดอน - ADV),neg,-0.9266666666666666
(ก่อตัว - VERB),neg,-0.9258333333333333
(monger - ADJ),neg,-0.925
(คว่ำ - VERB),neg,-0.9241666666666667
(ซ้อน - VERB),neg,-0.9233333333333333
(ย่อ - VERB),neg,-0.9225
(barachout - ADJ),neg,-0.9216666666666666
(คุณบิน - VERB),neg,-0.9208333333333333
(ขั้นตอน - VERB),neg,-0.92
(คณะ - VERB),neg,-0.9191666666666667
(บวม - VERB),neg,-0.9183333333333333
(คอนโด - VERB),neg,-0.9175
(คุณหวัง - VERB),neg,-0.9166666666666666
(โรคภัยไข้เจ็บ - VERB),neg,-0.9158333333333334
(ไหล่ - VERB),neg,-0.915
(เหมือน - ADV),neg,-0.9141666666666667
(อูฐ - ADJ),neg,-0.9133333333333333
(สำรับ - VERB),neg,-0.9125
(จังหวัด - VERB),neg,-0.9116666666666666
(กลั่นแกล้ง - ADJ),neg,-0.9108333333333334
(กึกก้อง - VERB),neg,-0.91
(กลลวง - VERB),neg,-0.9091666666666667
(คุณสัมผัส - VERB),neg,-0.9083333333333333
(โป๊ะ - VERB),neg,-0.9075
(ฝึกฝน - VERB),neg,-0.9066666666666666
(กระทบกระเทือน - VERB),neg,-0.9058333333333334
(โอ้โจร - ADJ),neg,-0.905
(รีด - VERB),neg,-0.9041666666666667
(กลัว - ADV),neg,-0.9033333333333333
(รบ - VERB),neg,-0.9025
(ไอศ - VERB),neg,-0.9016666666666666
(ตูม - VERB),neg,-0.9008333333333334
(คุณเว้น - VERB),neg,-0.9
(ตรวจสอบ - ADV),neg,-0.8991666666666667
(บกพร่อง - VERB),neg,-0.8983333333333333
(บรรยากาศ - ADV),neg,-0.8975
(ย้อนกลับ - ADJ),neg,-0.8966666666666666
(แข่ง - VERB),neg,-0.8958333333333334
(bashings - VERB),neg,-0.895
(หลีกหนี - VERB),neg,-0.8941666666666667
(โบ๊ท - VERB),neg,-0.8933333333333333
(ตื่น - ADV),neg,-0.8925
(เปลือย - ADV),neg,-0.8916666666666667
(คิ้ว - VERB),neg,-0.8908333333333334
(เปลื้อง - VERB),neg,-0.89
(ราบ - ADJ),neg,-0.8891666666666667
(คัดท้าย - VERB),neg,-0.8883333333333333
(ตบ - VERB),neg,-0.8875
(องค์ - VERB),neg,-0.8866666666666667
(airbnb - VERB),neg,-0.8858333333333334
(คุณผลัก - VERB),neg,-0.885
(กอด - VERB),neg,-0.8841666666666667
(กาฬโรค - VERB),neg,-0.8833333333333333
(ซับซ้อน - VERB),neg,-0.8825
(กลโกง - VERB),neg,-0.8816666666666667
(น่ากลัว - ADV),neg,-0.8808333333333334
(ล้อเลียน - VERB),neg,-0.88
(น - VERB),neg,-0.8791666666666667
(ชอบคาร์ท - ADV),neg,-0.8783333333333333
(ค้าทาง - VERB),neg,-0.8775
(จักรยาน - ADJ),neg,-0.8766666666666667
(แจ้ง - VERB),neg,-0.8758333333333334
(เวอร์ชั่น - VERB),neg,-0.875
(กึ่ง - VERB),neg,-0.8741666666666666
(ดึง - ADV),neg,-0.8733333333333333
(ศอก - VERB),neg,-0.8725
(บอด - VERB),neg,-0.8716666666666667
(รุกราน - VERB),neg,-0.8708333333333333
(เต็นท์ - ADJ),neg,-0.87
(ประดิษฐ์ - VERB),neg,-0.8691666666666666
(นับถือ - VERB),neg,-0.8683333333333333
(ได้ยิน - ADV),neg,-0.8675
(อึดอัด - VERB),neg,-0.8666666666666667
(ขยับ - VERB),neg,-0.8658333333333333
(แรมอมา - ADJ),neg,-0.865
(แผ่ - VERB),neg,-0.8641666666666666
(รายละเอียด - VERB),neg,-0.8633333333333333
(โน้มน้าว - VERB),neg,-0.8625
(เลอเมอริเดียน - VERB),neg,-0.8616666666666667
(สงบเงียบ - VERB),neg,-0.8608333333333333
(สะเทือน - VERB),neg,-0.86
(รีวิว - VERB),neg,-0.8591666666666666
(kala - ADJ),neg,-0.8583333333333333
