word,node-label
(อันตราย - ADJ),pos
(ลาก - VERB),pos
(เว้น - VERB),pos
(เจ็บ - ADV),pos
(ท้าทาย - ADV),pos
(Las - ADV),pos
(เจ - ADV),pos
(เจ็ทสกีเว้น - VERB),pos
(ต้อย - ADV),pos
(กุศล - VERB),pos
(คาว - VERB),pos
(เรียน - VERB),pos
(จินตนาการ - ADV),pos
(ยืนตาม - ADV),pos
(ดาว - ADV),pos
(ทา - ADJ),pos
(กาลา - VERB),pos
(ถนนอาหาร - ADV),pos
(มือถือ - ADV),pos
(เท้าเปล่า - ADJ),pos
(ห้า - ADJ),pos
(ฉลาก - VERB),pos
(สนิม - VERB),pos
(สอดคล้อง - VERB),pos
(x - VERB),pos
(ค้ามหาสมุทรพลาซ่า - VERB),pos
(ขาย - ADV),pos
(un - ADV),pos
(รบกวน - ADV),pos
(Sea Smile - ADJ),pos
(Dental - VERB),pos
(คนเฒ่าคนแก่ - VERB),pos
(เตร่ - VERB),pos
(แลบ - VERB),pos
(สมบูรณ์แบบ - ADV),pos
(ประพฤติ - VERB),pos
(pg - ADV),pos
(รูปแบบ - VERB),pos
(โดดเดี่ยว - VERB),pos
(เจ็ตสกูตเตอร์ - ADJ),pos
(สลัด - VERB),pos
(ประยุกต์ - VERB),pos
(ชนะ - VERB),pos
(อึดอัด - ADJ),pos
(สกุล - VERB),pos
(coconuy - VERB),pos
(เศร้า - VERB),pos
(เคราะห์ - VERB),pos
(เบี่ยงเบน - VERB),pos
(ยักษ์ - VERB),pos
(เพื่อน - VERB),pos
(ปิ้ง - VERB),pos
(หา - ADV),pos
(ทั่วถึง - ADV),pos
(ความทรงจำ - ADJ),pos
(ไฟ - ADV),pos
(ตะเกียง - ADV),pos
(เวที - VERB),pos
( ล่อง - VERB),pos
(บู๊ต - VERB),pos
(ถนนบางลาควร - VERB),pos
(ลวงตา - ADJ),pos
(สมรส - VERB),pos
(เมืองไทย - ADJ),pos
(แปลกใจ - ADV),pos
(คว้า - ADJ),pos
(ยศ - ADV),pos
(Jud - ADJ),pos
(ย้อนกลับ - VERB),pos
(เปีย - ADV),pos
(เรือกล้วย - ADV),pos
(โชย - VERB),pos
(ยา - VERB),pos
(สุขา - VERB),pos
(ป่ามรกต - VERB),pos
(พุ่ง - VERB),pos
(ครึ้ม - VERB),pos
(คั่ว - ADJ),pos
(เบา - VERB),pos
(ตรู่ - ADV),pos
(ลมดี - ADJ),pos
( ดูไบ - VERB),pos
(หลายสิ่งหลายอย่าง - VERB),pos
(คุณนำ - ADJ),pos
(ฉาก - ADJ),pos
(เย้ายวนใจ - VERB),pos
(คุณสร้าง - VERB),pos
(คริสมาสต์ - VERB),pos
(รี - VERB),pos
(ยานพาหนะ - ADJ),pos
(บี - VERB),pos
(คลับคูดู - ADJ),pos
(ประเวณี - VERB),pos
(หิว - ADJ),pos
(บรรเทา - VERB),pos
(กวนใจ - VERB),pos
(แหล่งช้อปปิ้ง - VERB),pos
(คลับ - ADV),pos
(คบ - VERB),pos
